ser,cat
974,Nitrate
975,Other Inorganic Salts
976,Permanganate
977,Phosphate
978,Silicate
979,Sulfide
980,Sulphate
981,Other Inorganic Chemicals
982,Oxide
983,Lab Supplies
984,Beaker
985,Buret
986,Centrifuge Tubes
987,Flask
988,Funnel
989,Lab Balance
990,Lab Drying Equipment
991,Laboratory Bottle
992,Laboratory Centrifuge
993,Laboratory Clamp
994,Laboratory Cylinder
995,Laboratory Heating Equipments
996,Laboratory Refrigeration Equipments
997,Laboratory Thermostatic Devices
998,Other Lab Supplies
999,Petri Dish
1000,Pipette
1001,Test Tube
1002,Organic Intermediate
1003,Other Chemicals
1004,Paint & Coating
1005,Pharmaceutical
1006,Pigment & Dyestuff
1007,Dyestuffs
1008,Pigment
1009,Polymer
1012,Computer Hardware & So ftware
1013,Blank Disks
1014,Computer Cables & Connectors
1015,Computer Cases & Towers
1016,Computer Cleaners
1017,CPUs
1018,Desktops
1019,Fans & Cooling
1020,Firewall & VPN
1021,Floppy Drives
1022,Graphics Cards
1023,Hard Drives
1024,HDD Enclosure
1025,Industrial Computer & Accessories
1026,Keyboard Covers
1027,Keyboard Mouse Combos
1028,Keyboards
1029,KVM Switches
1030,Laptop Batteries
1031,Laptop Cooling Pads
1032,Laptop Skins
1033,Laptops
1034,Modems
1035,Monitors
1036,CRT Monitors
1037,LCD Monitors
1038,Other Monitors
1039,Touch Screen Monitors
1040,Motherboards
1041,Mouse
1042,Mouse Pads
1043,Network Cabinets
1044,Network Cards
1045,Network Hubs
1046,Network Switches
1047,Networking Storage
1048,Optical Drives
1049,Other Computer Accessories
1050,Other Computer Parts
1051,Other Computer Products
1052,Other Drive & Storage Devices
1053,Other Networking Devices
1054,PC Power Supplies
1055,PC Stations
1056,PDAs
1057,Printers
1058,RAMs
1059,Routers
1060,Scanners
1061,Servers
1062,Software
1063,Sound Cards
1064,USB Flash Drives
1065,USB Gadgets
1066,USB Hubs
1067,Webcams
1068,Workstations
1071,Construction & Real Estat e
1072,Aluminum Composite Panels
1073,Balustrades & Handrails
1074,Bathroom
1075,Bathroom Accessories
1076,Bath Hardware Sets
1077,Bath Mirrors
1078,Bathroom Shelves
1079,Cup & Tumbler Holders
1080,Grab Bars
1081,Liquid Soap Dispensers
1082,Paper Holders
1083,Robe Hooks
1084,Soap Dishes
1085,Toilet Brush Holders
1086,Towel Bars
1087,Towel Racks
1088,Towel Rings
1089,Bathroom Sinks
1090,Bathroom Vanities
1091,Bathtubs & Whirlpools
1092,Bidets
1093,Other Bathroom Parts & Accessories
1094,Bathtub Handrails
1095,Bathtub Pillows
1096,Drains
1097,Filling Valves
1098,Flappers & Tank Balls
1099,Flush Valves
1100,Other Accessories
1101,Plumbing Hoses
1102,Plumbing Nozzles
1103,Plumbing Traps
1104,Tank Levers
1105,Toilet Push Buttons
1106,Sanitary Ware Suite
1107,Shower Rooms & Accessories
1108,Bath Screens
1109,Other Shower Room Accessories
1110,Shower Doors
1111,Shower Rooms
1112,Shower Trays
1113,Spa Tubs & Sauna Rooms
1114,Sauna Rooms
1115,Spa Tubs
1116,Squat Pans
1117,Toilet Bowls
1118,Toilet Seats
1119,Toilet Tanks
1120,Toilets
1121,Urinals
1122,Boards
1123,Cement Boards
1124,Other Boards
1125,Plasterboards
1126,Sandwich Panels
1127,Building Glass
1128,Ceilings
1129,Ceiling Grid Components
1130,Ceiling Tiles
1131,Corner Guards
1132,"Countertops,Vanity Tops & Table Tops"
1133,Curtain Walls & Accessories
1134,Curtain Wall Profiles
1135,Curtain Walls
1136,Other Curtain Wall Accessories
1137,Spiders
1138,Decorative Films
1139,Doors & Windows
1140,Doors
1141,Windows
1142,Doors & Windows Accessories
1143,Automatic Door Operators
1144,Door & Window Bolts
1145,Door & Window Frames
1146,Door & Window Grates
1147,Door & Window Handles
1148,Door & Window Hinges
1149,Door & Window Rollers
1150,Door & Window Screens
1151,Door & Window Sills
1152,Door Closers
1153,Door Plates
1154,Door Stops
1155,Door Viewers
1156,Doorbells
1157,Garage Door Openers
1158,Gate Operators
1159,Other Door & Window Accessories
1160,Shutters
1161,Earthwork Products
1162,Geocells
1163,Geogrids
1164,Geomembranes
1165,Geotextiles
1166,Other Earthwork Products
1167,Elevators & Elevator Parts
1168,Elevator Parts
1169,Elevators
1170,Escalators & Escalator Parts
1171,Escalator Parts
1172,Escalators
1173,Moving Walks
1174,"Faucets,Mixers & Taps"
1175,Bathroom Faucets
1176,Basin Faucets
1177,Bath & Shower Faucets
1178,Bidet Faucets
1179,Bibcocks
1180,Faucet Accessories
1181,Aerators
1182,Bathroom Faucet Accessories
1183,Faucet Cartridges
1184,Kitchen Faucet Accessories
1185,Other Faucet Accessories
1186,Kitchen Faucets
1187,"Fireplaces,Stoves"
1188,Fireplace Parts
1189,Fireplaces
1190,Stoves
1191,Fireproofing Materials
1192,Calcium Silicate Boards
1193,Magnesium Oxide Boards
1194,Other Fireproofing Materials
1195,Floor Heating Systems & Parts
1196,Flooring & Accessories
1197,Anti-Static Flooring
1198,Bamboo Flooring
1199,Cork Flooring
1200,Engineered Flooring
1201,Flooring Accessories
1202,Other Flooring
1203,Plastic Flooring
1204,Rubber Flooring
1205,Wood Flooring
1206,Formwork
1207,Gates
1208,Heat Insulation Materials
1209,EPS Foam Boards
1210,Other Heat Insulation Materials
1211,XPS Boards
1212,HVAC Systems & Parts
1213,Kitchen
1214,Kitchen Cabinets & Accessories
1215,Kitchen Cabinet Parts & Accessories
1216,Kitchen Cabinets
1217,Kitchen Sinks
1218,Kitchen Storage
1219,Ladders & Scaffoldings
1220,Ladder & Scaffolding Parts
1221,Ladders
1222,Other Ladders & Scaffoldings
1223,Scaffoldings
1224,Work Platforms
1225,Landscaping Stone
1226,Cobbles & Pebbles
1227,Curbstones
1228,Mushroom Stone
1229,Other Landscaping Stone
1230,Paving Stone
1231,Tactile Paving
1232,Masonry Materials
1233,Aggregate
1234,Gravel & Crushed Stone
1235,Other Aggregate
1236,Sand
1237,Slag
1238,Bricks
1239,Building Blocks
1240,Cement
1241,Concrete Admixtures & Mortar Admixt ures
1242,Gypsum Powder
1243,Mortar
1244,Other Masonry Materials
1245,Roof Tiles
1246,Metal Building Materials
1247,Mosaics
1248,Mouldings
1249,Multifunctional Materials
1250,Other Construction & Real Estate
1251,Plastic Building Materials
1252,Architecture Membrane
1253,Other Plastic Building Materials
1254,Plastic Profiles
1255,Sun Sheets & PC Embossed Sheets
1256,Quarry Stone & Slabs
1257,Artificial Stone
1258,Natural Stone
1259,Basalt
1260,Granite
1261,Limestone
1262,Marble
1263,Other Natural Stone
1264,Sandstone
1265,Slate
1266,Real Estate
1267,Apartments
1268,Farms
1269,Forest
1270,Hotels
1271,Land
1272,Office Buildings
1273,Other Real Estate
1274,Prefab Houses
1275,Shops
1276,Villas
1277,Warehouses
1278,Workshops & Plants
1279,Soundproofing Materials
1280,Acoustic Panels
1281,Other Soundproofing Materials
1282,Sound Barriers
1283,Stairs & Stair Parts
1284,Stair Parts
1285,Stairs
1286,Stone Carvings and Sculptures
1287,Arches
1288,Other Stone Carvings & Sculptures
1289,Pillars
1290,Statues
1291,Stone Garden Products
1292,Stone Reliefs
1293,Sunrooms & Glass Houses
1294,Tiles & Accessories
1295,Tile Accessories
1296,Tiles
1297,Timber
1298,Anticorrosive Woods
